no,group1,group2,sc0,sc1,sc2_1,sc3,q2_a1,q2_1b_1,q2_1b_2,q2_a2,q2_2b_1,q2_2b_2,q2_a3,q2_3b_1,q2_3b_2,q2_4_1,q2_4_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q3_1,q3_2,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q6_1,q6_2,q6_3,q6_4,sq1_1,sq1_2,sq1_3,sq1_4,sq1_5,sq1_6,sq1_7,sq1_8
127,9,1,1,1,23,2,8,,,8,,,8,,,0,0,3,3,3,4,3,3,4,3,3,4,4,3,4,4,5,4,3,4,3,3,2,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3,4,3,3
128,6,,1,2,35,2,8,,,8,,,3,2,0,8,0,4,2,4,4,3,3,4,3,1,1,6,5,5,5,5,5,3,1,4,2,1,4,3,3,2,4,3,2,3,3,2,4,,,,,,,,
129,5,1,1,2,29,2,8,,,8,,,5,0,20,2,0,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
130,7,,1,2,43,2,8,,,8,,,7,0,30,4,0,1,5,1,5,5,1,5,1,2,2,4,4,4,3,3,3,1,2,2,2,4,4,1,2,4,1,2,5,1,1,1,1,,,,,,,,
132,16,1,1,2,54,2,8,,,8,,,8,,,10,30,3,3,3,3,4,3,3,3,4,4,5,5,5,5,5,5,3,3,2,3,2,2,3,3,4,3,3,2,3,4,4,3,3,2,4,3,4,4,3,3
133,2,,1,1,33,2,5,1,0,8,,,4,0,30,10,0,3,1,5,1,2,2,2,2,4,5,4,6,4,2,4,3,3,4,3,5,1,1,2,4,4,4,2,3,2,2,2,1,,,,,,,,
134,13,1,1,2,29,2,8,,,8,,,8,,,3,0,4,1,2,1,2,3,1,2,1,1,1,1,1,3,3,3,2,3,4,1,1,1,1,1,2,1,2,2,1,2,2,2,4,3,4,4,2,3,4,3
135,5,1,1,2,28,2,8,,,3,1,0,5,1,0,12,0,3,4,3,4,3,3,3,2,1,1,5,5,5,4,4,4,3,2,3,2,2,2,2,1,3,3,2,2,5,4,3,3,2,3,2,3,3,2,4,2
136,10,1,1,1,33,2,8,,,8,,,8,,,14,0,1,5,1,5,5,1,5,1,1,1,3,1,4,2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,5,1,5,5,1,5,1
137,1,1,1,1,28,2,8,,,1,0,30,7,1,20,3,0,5,1,4,2,3,4,2,5,4,4,3,3,3,4,3,4,4,5,4,4,4,2,4,4,4,4,4,2,7,7,6,6,5,2,4,2,3,4,2,4
